date,infections
23-Jan-20,0
24-Jan-20,0
25-Jan-20,0
26-Jan-20,0
27-Jan-20,0
28-Jan-20,0
29-Jan-20,0
30-Jan-20,0
31-Jan-20,0
1-Feb-20,0
2-Feb-20,0
3-Feb-20,0
4-Feb-20,0
5-Feb-20,0
6-Feb-20,0
7-Feb-20,0
8-Feb-20,0
9-Feb-20,0
10-Feb-20,0
11-Feb-20,0
12-Feb-20,0
13-Feb-20,0
14-Feb-20,0
15-Feb-20,0
16-Feb-20,0
17-Feb-20,0
18-Feb-20,0
19-Feb-20,0
20-Feb-20,0
21-Feb-20,0
22-Feb-20,0
23-Feb-20,0
24-Feb-20,0
25-Feb-20,0
26-Feb-20,0
27-Feb-20,0
28-Feb-20,0
29-Feb-20,0
1-Mar-20,6
2-Mar-20,6
3-Mar-20,7
4-Mar-20,10
5-Mar-20,13
6-Mar-20,13
7-Mar-20,13
8-Mar-20,14
9-Mar-20,15
10-Mar-20,15
11-Mar-20,17
12-Mar-20,17
13-Mar-20,17
14-Mar-20,28
15-Mar-20,28
16-Mar-20,37
17-Mar-20,58
18-Mar-20,111
19-Mar-20,199
20-Mar-20,367
21-Mar-20,506
22-Mar-20,789
23-Mar-20,981
24-Mar-20,1082
25-Mar-20,1173
26-Mar-20,1403
27-Mar-20,1595
28-Mar-20,1823
29-Mar-20,1924
30-Mar-20,1962
31-Mar-20,2240
1-Apr-20,2748
2-Apr-20,3163
3-Apr-20,3368
4-Apr-20,3465
5-Apr-20,3646
6-Apr-20,3747
7-Apr-20,3747
8-Apr-20,4450
9-Apr-20,4965
10-Apr-20,7161
11-Apr-20,7257
12-Apr-20,7466
13-Apr-20,7529
14-Apr-20,7603
15-Apr-20,7858
16-Apr-20,8225
17-Apr-20,8450
18-Apr-20,9022
19-Apr-20,9468
20-Apr-20,10128
21-Apr-20,10398
22-Apr-20,10850
23-Apr-20,11183
24-Apr-20,22719
25-Apr-20,22719
26-Apr-20,22719
27-Apr-20,23240
28-Apr-20,24258
29-Apr-20,24258
30-Apr-20,24934
1-May-20,26336
2-May-20,27464
3-May-20,29538
4-May-20,31881
5-May-20,31881
6-May-20,31881
7-May-20,31881
8-May-20,30298
9-May-20,30298
10-May-20,29559
11-May-20,29559
12-May-20,30419
13-May-20,30486
14-May-20,30502
15-May-20,31467
16-May-20,32763
17-May-20,33182
18-May-20,33582
19-May-20,34151
20-May-20,34854
21-May-20,35306
22-May-20,35828
23-May-20,36258
24-May-20,36756
25-May-20,37355
26-May-20,37355
27-May-20,38103
28-May-20,38471
29-May-20,38571
30-May-20,38571
31-May-20,39098
1-Jun-20,39098
2-Jun-20,40414
3-Jun-20,40414
4-Jun-20,40966
5-Jun-20,41575
6-Jun-20,41575
7-Jun-20,43120
8-Jun-20,43378
9-Jun-20,43917
10-Jun-20,44440
11-Jun-20,44440
12-Jun-20,45778
13-Jun-20,46356
14-Jun-20,46751
15-Jun-20,47322
16-Jun-20,47943
17-Jun-20,48490
18-Jun-20,49097
19-Jun-20,49731
20-Jun-20,49731
21-Jun-20,50640
22-Jun-20,50640
23-Jun-20,51643
24-Jun-20,51643
25-Jun-20,53156
26-Jun-20,53856
27-Jun-20,54574
28-Jun-20,55255
29-Jun-20,55665
